,ID,HIP,TYC,UCAC,2MASS,SDSS,Objtype,Kepflag,StpropFlag,RA,DEC,pmRA,e_pmRA,pmDEC,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Kp,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],Rad,e_Rad,Mass,e_Mass,rho,e_rho,Lum,e_Lum,d,e_d,E(B-V),NOMAD,Mflg,prox,umag0,Jmag0,Kmag0,rmag0,gmag0,Hmag0
404,228683805,,,,12284187-1252290,,STAR,JHK,,187.174499,-12.874736,,,,,,,,,,,,,,,,,,,,,14.495,0.032,13.735999999999999,0.036000000000000004,13.534,0.051,,,,,,,,,16.750999999999998,,,,,,,,,,,,,,,,,0.02147,0771-0320048,AAA-222-111-000-0-0,56.3,,14.479477189999999,13.527344300000001,,,13.726123799999998
1412,228684813,,,,12295542-1239204,,STAR,JHK,,187.480947,-12.655682,,,,,,,,,,,,,,,,,,,,,14.889000000000001,0.039,14.107000000000001,0.03,13.825999999999999,0.051,,,,,,,,,17.408,,,,,,,,,,,,,,,,,0.03403,0773-0322412,AAA-222-111-000-0-0,59.5,,14.864396310000002,13.8154507,,,14.0913462
2155,228685556,,,388-059256,12224389-1232037,,STAR,gri,,185.68292,-12.534371,2.2,1.8,-1.2,3.0,,,16.711,0.03,15.294,0.01,,,16.054000000000002,0.06,14.889000000000001,0.07,14.35,0.11,,,12.927999999999999,0.026000000000000002,12.145,0.021,12.014000000000001,0.024,,,,,,,,,14.860999999999999,,,,,,,,,,,,,,,,,0.01975,,AAA-222-111-000-0-0,54.5,,12.91372075,12.007877500000001,14.843871250000001,15.988765750000002,12.135914999999999
2285,228685686,,,,12385712-1230560,6121-301-6-0078-0336,STAR,gri,,189.738033,-12.515576,-5.0,3.0,-6.0,3.0,,,,,,,21.410999999999998,0.158,18.875,0.009000000000000001,17.465,0.006,16.634,0.005,16.162,0.008,14.992,0.043,14.229000000000001,0.04,13.995999999999999,0.055999999999999994,,,,,,,,,17.305999999999997,,,,,,,,,,,,,,,,,0.03175,,AAA-222-111-000-0-0,52.5,21.276411749999998,14.96904475,13.9861575,17.39245125,18.77012975,14.214395000000001
2824,228686225,,,388-059085,12172164-1226544,,STAR,gri,,184.340191,-12.448496,0.1,2.3,-4.2,2.3,,,17.346,0.08,15.865,0.061,,,16.547,0.08,15.455,0.01,15.144,0.29,,,13.472000000000001,0.024,12.725999999999999,0.025,12.544,0.023,,,,,,,,,15.565,,,,,,,,,,,,,,,,,0.0348,,AAA-222-111-000-0-0,49.9,,13.4468396,12.533212,15.375482,16.4320556,12.709992
2917,228686318,,,,12170934-1226217,,STAR,JHK,,184.288952,-12.439368,,,,,,,,,,,,,,,,,,,,,14.562999999999999,0.04,13.84,0.025,13.583,0.038,,,,,,,,,17.099,,,,,,,,,,,,,,,,,0.0348,0775-0319785,AAA-222-111-000-0-0,63.9,,14.537839599999998,13.572212,,,13.823992
4563,228687964,,,,12303904-1215234,,STAR,JHK,,187.6627,-12.256515,,,,,,,,,,,,,,,,,,,,,14.832,0.042,14.091,0.046,13.868,0.062,,,,,,,,,17.35,,,,,,,,,,,,,,,,,0.02379,0777-0326137,AAA-222-111-000-0-0,48.0,,14.81479983,13.8606251,,,14.080056599999999
4982,228688383,,,,12300675-1212566,,STAR,J,,187.528131,-12.215722999999999,,,,,,,,,,,,,,,,,,,,,14.838,0.043,14.107999999999999,0.037000000000000005,13.837,0.06,,,,,,,,,16.245,,,,,,,,,,,,,,,,,0.02331,0777-0325917,AAA-222-111-000-0-0,56.4,,14.82114687,13.8297739,,,14.0972774
9819,228693220,,,391-057132,12294770-1150227,,STAR,JHK,,187.44870600000002,-11.839617,4.1,5.9,2.7,4.9,,,,,,,,,,,,,,,,,14.163,0.032,13.415999999999999,0.027000000000000003,13.21,0.038,,,,,,,,,16.664,,,,,,,,,,,,,,,,,0.02805,,AAA-222-111-000-0-0,35.6,,14.14271985,13.2013045,,,13.403096999999999
10303,228693704,,,391-057193,12321374-1148261,,STAR,JHK,,188.057256,-11.807246000000001,-6.1,6.1,-3.8,6.0,,,,,,,,,,,,,,,,,14.933,0.045,14.193,0.04,13.98,0.068,,,,,,,,,17.434,,,,,,,,,,,,,,,,,0.03435,,AAA-222-111-000-0-0,86.3,,14.90816495,13.9693515,,,14.177199
10917,228694318,,,,12412255-1145413,6005-301-5-0085-0109,STAR,gri,,190.34399,-11.761474,2.0,3.0,4.0,3.0,,,,,,,21.389,0.133,18.615,0.008,17.149,0.005,16.45,0.004,16.058,0.006999999999999999,14.872,0.039,14.116,0.023,13.956,0.059000000000000004,,,,,,,,,17.1,,,,,,,,,,,,,,,,,0.01908,,AAA-222-111-000-0-0,26.1,21.30811988,14.85820516,13.9500852,17.1054022,18.551978759999997,14.1072232
11353,228694754,,,,12434377-1143435,6005-301-4-0085-0221,STAR,gri,,190.932377,-11.728762,-9.0,3.0,3.0,3.0,,,,,,,21.136999999999997,0.122,18.462,0.006999999999999999,17.053,0.005,16.274,0.004,15.821,0.006999999999999999,14.615,0.04,13.817,0.033,13.609000000000002,0.049,,,,,,,,,16.93,,,,,,,,,,,,,,,,,0.03016,,AAA-222-111-000-0-0,19.9,21.009151759999998,14.59319432,13.599650400000002,16.9840844,18.36238152,13.8031264
14909,228698310,,,393-055370,12271734-1130031,,STAR,JHK,,186.822305,-11.500917,7.6,9.3,-5.7,10.8,,,,,,,,,,,,,,,,,14.614,0.04,13.845,0.039,13.652999999999999,0.05,,,,,,,,,16.87,,,,,,,,,,,,,,,,,0.02583,,AAA-222-111-000-0-0,6.9,,14.59532491,13.6449927,,,13.833118200000001
15254,228698655,,,,12424155-1128486,,STAR,J,,190.67316200000002,-11.480176,,,,,,,,,,,,,,,,,,,,,14.552999999999999,0.068,13.821,0.069,13.508,0.066,,,,,,,,,15.937999999999999,,,,,,,,,,,,,,,,,0.02515,0785-0247788,AAA-222-111-000-0-0,21.7,,14.534816549999999,13.5002035,,,13.809431
15604,228699005,,,,12213316-1127356,,STAR,J,,185.388176,-11.459914,,,,,,,,,,,,,,,,,,,,,14.357000000000001,0.039,13.63,0.033,13.345,0.043,,,,,,,,,15.727,,,,,,,,,,,,,,,,,0.01951,0785-0243059,AAA-222-111-000-0-0,34.7,,14.34289427,13.338951900000001,,,13.6210254
17521,228700922,,,,12121789-1120431,,STAR,JHK,,183.074551,-11.345315,-4.0,1.0,6.0,3.0,,,,,,,,,,,,,,,,,14.825999999999999,0.042,14.058,0.035,13.805,0.06,,,,,,,,,17.232,,,,,,,,,,,,,,,,,0.07969,0786-0238343,AAA-222-111-000-0-0,16.3,,14.76838413,13.7802961,,,14.0213426
20375,228703776,,,,12182487-1111015,,STAR,JHK,,184.60364099999998,-11.183769999999999,8.0,1.0,8.0,4.0,,,,,,,,,,,,,,,,,14.917,0.036000000000000004,14.173,0.043,13.972000000000001,0.062,,,,,,,,,17.403,,,,,,,,,,,,,,,,,0.02887,0788-0240445,AAA-222-111-000-0-0,77.4,,14.896126989999999,13.9630503,,,14.1597198
26415,228709816,,,,12240281-1052038,,STAR,JHK,,186.01173,-10.867739,,,,,,,,,,,,,,,,,,,,,14.957,0.08199999999999999,14.16,0.085,13.845999999999998,0.076,,,,,,,,,17.616,,,,,,,,,,,,,,,,,0.02719,0791-0239481,AAA-222-111-000-0-0,66.4,,14.93734163,13.837571099999998,,,14.1474926
28622,228712023,,,,12261371-1045211,,STAR,JHK,,186.55715700000002,-10.755884,,,,,,,,,,,,,,,,,,,,,14.304,0.03,13.565999999999999,0.035,13.35,0.045,,,,,,,,,16.805999999999997,,,,,,,,,,,,,,,,,0.02105,0792-0241246,AAA-222-111-000-0-0,14.4,,14.28878085,13.3434745,,,13.556316999999998
31313,228714714,,,,12442115-1037075,6121-301-3-0091-0189,STAR,gri,,191.08815800000002,-10.618762,-4.0,3.0,1.0,3.0,,,,,,,21.47,0.13699999999999998,18.487000000000002,0.008,17.042,0.005,16.215999999999998,0.005,15.811,0.006999999999999999,14.507,0.037000000000000005,13.745999999999999,0.03,13.582,0.045,,,,,,,,,16.897000000000002,,,,,,,,,,,,,,,,,0.02663,,AAA-222-111-000-0-0,43.4,21.35711543,14.48774651,13.5737447,16.98115045,18.399041110000002,13.7337502
32982,228716383,,,,12261550-1031546,,STAR,JHK,,186.56462199999999,-10.531852,,,,,,,,,,,,,,,,,,,,,14.584000000000001,0.079,13.815,0.09300000000000001,13.587,0.087,,,,,,,,,16.928,,,,,,,,,,,,,,,,,0.01659,0794-0239039,AAA-222-111-000-0-0,23.3,,14.57200543,13.5818571,,,13.8073686
33632,228717033,,,,12173618-1029572,,STAR,JHK,,184.400782,-10.499234,,,,,,,,,,,,,,,,,,,,,14.904000000000002,0.036000000000000004,14.142999999999999,0.051,13.895999999999999,0.061,,,,,,,,,17.276,,,,,,,,,,,,,,,,,0.02845,0795-0237764,AAA-222-111-000-0-0,68.6,,14.883430650000001,13.8871805,,,14.129912999999998
33710,228717111,,,,12274644-1029419,,STAR,J,,186.943538,-10.494985,,,,,,,,,,,,,,,,,,,,,14.913,0.064,14.163,0.061,13.827,0.066,,,,,,,,,16.327,,,,,,,,,,,,,,,,,0.0297,0795-0239834,AAA-222-111-000-0-0,21.6,,14.8915269,13.817793,,,14.149338
36530,228719931,,,,12434663-1021219,6005-301-4-0094-0289,STAR,gri,,190.944315,-10.3561,-4.0,3.0,-6.0,3.0,,,,,,,21.368000000000002,0.107,18.65,0.008,17.234,0.005,16.014,0.005,15.360999999999999,0.006,13.999,0.03,13.262,0.027000000000000003,13.037,0.034,,,,,,,,,16.805,,,,,,,,,,,,,,,,,0.01488,,AAA-222-111-000-0-0,65.5,21.30492368,13.988241760000001,13.0323872,17.1999992,18.60085136,13.2551552
38813,228722214,,,399-052644,12501951-1014359,,STAR,JHK,,192.581291,-10.243277,1.3,4.3,2.0,3.9,,,,,,,,,,,,,,,,,14.319,0.036000000000000004,13.535,0.03,13.478,0.044000000000000004,,,,,,,,,16.515,,,,,,,,,,,,,,,,,0.02131,,AAA-222-111-000-0-0,85.7,,14.303592870000001,13.471393899999999,,,13.5251974
45583,228728984,,,,12035655-0954531,,STAR,JHK,,180.985632,-9.914774000000001,,,,,,,,,,,,,,,,,,,,,14.592,0.04,13.839,0.026000000000000002,13.554,0.043,,,,,,,,,17.043,,,,,,,,,,,,,,,,,0.03291,0800-0236150,AAA-222-111-000-0-0,50.4,,14.56820607,13.5437979,,,13.8238614
46125,228729526,,,,12315097-0953156,,STAR,JHK,,187.962392,-9.887688,,,,,,,,,,,,,,,,,,,,,14.95,0.051,14.194,0.038,13.964,0.057,,,,,,,,,17.267,,,,,,,,,,,,,,,,,0.03003,0801-0249160,AAA-222-111-000-0-0,20.2,,14.92828831,13.9546907,,,14.180186200000001
46655,228730056,,,,12325987-0951467,,STAR,J,,188.249469,-9.862999,,,,,,,,,,,,,,,,,,,,,15.046,0.048,14.32,0.045,14.002,0.07200000000000001,,,,,,,,,16.47,,,,,,,,,,,,,,,,,0.01656,0801-0249507,AAA-222-111-000-0-0,95.1,,15.03402712,13.9968664,,,14.3123824
47543,228730944,,,401-054372,12490160-0949143,6005-301-1-0098-0226,STAR,gri,,192.256662,-9.820664,-2.6,3.8,3.3,4.7,,,17.122,0.07,15.655,0.01,,,16.455,0.05,15.157,0.03,14.589,0.13,,,13.06,0.027000000000000003,12.274000000000001,0.026000000000000002,12.120999999999999,0.024,,,,,,,,,15.149000000000001,,,,,,,,,,,,,,,,,0.01644,,AAA-222-111-000-0-0,26.3,,13.04811388,12.1159036,15.1194346,16.400698679999998,12.266437600000001
49708,228733109,,,,12053222-0942407,,STAR,J,,181.38425,-9.711319999999999,,,,,,,,,,,,,,,,,,,,,14.845999999999998,0.063,14.107999999999999,0.064,13.808,0.062,,,,,,,,,16.254,,,,,,,,,,,,,,,,,0.03837,0802-0247358,AAA-222-111-000-0-0,52.1,,14.818258489999998,13.7961053,,,14.090349799999998
50164,228733565,,,,12161501-0941188,,STAR,JHK,,184.062572,-9.68856,,,,,,,,,,,,,,,,,,,,,14.682,0.040999999999999995,13.927,0.035,13.68,0.054000000000000006,,,,,,,,,17.039,,,,,,,,,,,,,,,,,0.04774,0803-0251692,AAA-222-111-000-0-0,65.8,,14.64748398,13.6652006,,,13.9050396
50409,228733810,,,,12184618-0940376,,STAR,JHK,,184.692451,-9.677124000000001,,,,,,,,,,,,,,,,,,,,,14.244000000000002,0.037000000000000005,13.462,0.027999999999999997,13.26,0.043,,,,,,,,,16.555999999999997,,,,,,,,,,,,,,,,,0.03265,0803-0252338,AAA-222-111-000-0-0,9.3,,14.220394050000001,13.2498785,,,13.446981
51540,228734941,,,,12300111-0937249,,STAR,J,,187.504663,-9.623603999999998,,,,,,,,,,,,,,,,,,,,,14.735,0.071,14.005,0.09699999999999999,13.698,0.076,,,,,,,,,16.134,,,,,,,,,,,,,,,,,0.01478,0803-0256515,AAA-222-111-000-0-0,10.6,,14.72431406,13.6934182,,,13.9982012
53876,228737277,,,,12553191-0930366,,STAR,JHK,,193.882992,-9.510183,,,,,,,,,,,,,,,,,,,,,14.96,0.049,14.216,0.048,13.994000000000002,0.059000000000000004,,,,,,,,,17.48,,,,,,,,,,,,,,,,,0.03198,0804-0262196,AAA-222-111-000-0-0,4.8,,14.93687846,13.984086200000002,,,14.2012892
55432,228738833,,,,12425612-0926085,6121-301-4-0099-0266,STAR,gri,,190.733856,-9.435721000000001,-1.0,2.0,3.0,2.0,,,,,,,20.495,0.069,17.706,0.006,16.599,0.005,16.135,0.005,15.880999999999998,0.006999999999999999,14.708,0.044000000000000004,13.897,0.036000000000000004,13.772,0.055,,,,,,,,,16.605999999999998,,,,,,,,,,,,,,,,,0.03297,,AAA-222-111-000-0-0,16.1,20.355240170000002,14.68416269,13.7617793,16.523663550000002,17.597100089999998,13.8818338
55623,228739024,,,,12530131-0925382,,STAR,JHK,,193.255475,-9.427292999999999,,,,,,,,,,,,,,,,,,,,,14.567,0.039,13.81,0.035,13.610999999999999,0.05,,,,,,,,,16.812,,,,,,,,,,,,,,,,,0.03051,0805-0258715,AAA-222-111-000-0-0,16.7,,14.54494127,13.601541899999999,,,13.7959654
57454,228740855,,,,11581041-0920299,,STAR,JHK,,179.54339099999999,-9.341642,,,,,,,,,,,,,,,,,,,,,14.921,0.045,14.190999999999999,0.044000000000000004,13.929,0.057999999999999996,,,,,,,,,17.464000000000002,,,,,,,,,,,,,,,,,0.01454,0806-0241061,AAA-222-111-000-0-0,36.6,,14.91048758,13.9244926,,,14.1843116
57965,228741366,,,,12013447-0919038,,STAR,JHK,,180.393665,-9.317725999999999,,,,,,,,,,,,,,,,,,,,,14.763,0.034,13.988,0.044000000000000004,13.886,0.052000000000000005,,,,,,,,,16.833,,,,,,,,,,,,,,,,,0.0449,0806-0241683,AAA-222-111-000-0-0,7.7,,14.7305373,13.872081,,,13.967346
58716,228742117,,,404-054758,12554690-0916560,,STAR,BV,,193.945474,-9.282257000000001,-2.7,4.8,2.5,4.8,,,18.3,0.33,16.708,0.08800000000000001,,,17.531,0.084,,,,,,,14.18,0.036000000000000004,13.404000000000002,0.032,13.265,0.037000000000000005,,,,,,,,,16.379,,,,,,,,,,,,,,,,,0.02533,,AAA-222-111-000-0-0,71.6,,14.16168641,13.2571477,,17.44733501,13.392348200000002
60317,228743718,,,,12092953-0912333,,STAR,JHK,,182.373069,-9.209274,,,,,,,,,,,,,,,,,,,,,14.661,0.067,13.884,0.083,13.674000000000001,0.065,,,,,,,,,16.98,,,,,,,,,,,,,,,,,0.05771,0807-0241132,AAA-222-111-000-0-0,23.1,,14.61927567,13.6561099,,,13.8574534
60635,228744036,,,,12275897-0911341,,STAR,JHK,,186.995735,-9.192821,,,,,,,,,,,,,,,,,,,,,14.727,0.034,13.932,0.04,13.807,0.053,,,,,,,,,16.889,,,,,,,,,,,,,,,,,0.01694,0808-0244798,AAA-222-111-000-0-0,37.9,,14.71475238,13.8017486,,,13.9242076
61530,228744931,,,405-055688,12463755-0909039,6121-301-2-0101-0187,STAR,JHK,,191.656501,-9.151102,0.2,5.3,1.2,5.3,,,,,,,,,,,,,,,,,13.794,0.027999999999999997,13.064,0.028999999999999998,12.802999999999999,0.023,,,,,,,,,16.337,,,,,,,,,,,,,,,,,0.01658,,AAA-222-111-000-0-0,57.7,,13.782012660000001,12.797860199999999,,,13.0563732
62120,228745521,,,405-055484,12390772-0907223,,STAR,JHK,,189.782202,-9.122795,5.1,5.4,3.5,6.1,,,,,,,,,,,,,,,,,14.345,0.03,13.539000000000001,0.024,13.350999999999999,0.031,,,,,,,,,16.682000000000002,,,,,,,,,,,,,,,,,0.02309,,AAA-222-111-000-0-0,62.2,,14.32830593,13.3438421,,,13.528378600000002
63812,228747213,,,,12534232-0902479,,STAR,JHK,,193.426346,-9.046645,,,,,,,,,,,,,,,,,,,,,14.234000000000002,0.027999999999999997,13.481,0.036000000000000004,13.287,0.040999999999999995,,,,,,,,,16.458,,,,,,,,,,,,,,,,,0.02647,0809-0250260,AAA-222-111-000-0-0,16.5,,14.214862190000002,13.278794300000001,,,13.4688238
65480,228748881,,,406-055923,12370246-0858224,,STAR,JHK,,189.260277,-8.972897,-4.9,8.6,-3.9,8.7,,,,,,,,,,,,,,,,,14.538,0.04,13.763,0.039,13.526,0.05,,,,,,,,,16.92,,,,,,,,,,,,,,,,,0.01801,,AAA-222-111-000-0-0,22.7,,14.52497877,13.520416899999999,,,13.7547154
69559,228752960,,,407-055428,12462516-0847348,6121-301-2-0104-0104,STAR,JHK,,191.604856,-8.79306,-2.5,3.6,0.6,4.7,,,,,,,,,,,,,,,,,13.15,0.023,12.383,0.025,12.255999999999998,0.03,,,,,,,,,15.255999999999998,,,,,,,,,,,,,,,,,0.01628,,AAA-222-111-000-0-0,48.5,,13.138229560000001,12.250953199999998,,,12.375511199999998
70727,228754128,,,,12431807-0844277,6121-301-4-0104-0271,STAR,gri,,190.825292,-8.741042,2.0,3.0,-7.0,3.0,,,,,,,20.93,0.09300000000000001,18.247,0.006999999999999999,16.889,0.005,16.3,0.005,15.979000000000001,0.008,14.814,0.028999999999999998,14.047,0.044000000000000004,13.918,0.071,,,,,,,,,16.884,,,,,,,,,,,,,,,,,0.02859,,AAA-222-111-000-0-0,41.8,20.80880699,14.79332943,13.909137099999999,16.82367185,18.15256723,14.0338486
71624,228755025,,,,12233883-0842005,,STAR,JHK,,185.911814,-8.700144,,,,,,,,,,,,,,,,,,,,,14.6,0.039,13.828,0.031,13.573,0.043,,,,,,,,,17.021,,,,,,,,,,,,,,,,,0.02582,0812-0249444,AAA-222-111-000-0-0,20.8,,14.581332139999999,13.5649958,,,13.816122799999999
72087,228755488,,,407-054819,12243719-0840437,,STAR,gri,,186.154945,-8.678821000000001,-7.6,3.5,2.5,4.1,,,18.012999999999998,0.23,16.543,0.07,,,17.36,0.08,15.95,0.05,15.350999999999999,0.10400000000000001,,,13.931,0.032,13.116,0.03,12.972999999999999,0.03,,,,,,,,,15.954,,,,,,,,,,,,,,,,,0.02856,,AAA-222-111-000-0-0,28.0,,13.91035112,12.964146399999999,15.8847404,17.26566632,13.1028624
75136,228758537,,,,12204563-0832474,,STAR,JHK,,185.19014199999998,-8.546510000000001,,,,,,,,,,,,,,,,,,,,,14.472000000000001,0.03,13.75,0.025,13.501,0.039,,,,,,,,,16.998,,,,,,,,,,,,,,,,,0.02271,0814-0250075,AAA-222-111-000-0-0,99.2,,14.455580670000002,13.4939599,,,13.7395534
77932,228761333,,,,12443968-0825174,6121-301-3-0106-0276,STAR,gri,,191.165352,-8.42152,-5.0,3.0,-7.0,3.0,,,,,,,21.024,0.09300000000000001,18.202,0.006999999999999999,16.939,0.005,16.382,0.005,16.043,0.008,14.91,0.039,14.18,0.045,13.904000000000002,0.066,,,,,,,,,16.928,,,,,,,,,,,,,,,,,0.02416,,AAA-222-111-000-0-0,33.1,20.92158576,14.89253232,13.896510400000002,16.8837944,18.122199520000002,14.1688864
81169,228764570,,,,12191239-0816533,,STAR,JHK,,184.80163000000002,-8.281496,,,,,,,,,,,,,,,,,,,,,14.883,0.034,14.139000000000001,0.037000000000000005,13.939,0.054000000000000006,,,,,,,,,17.367,,,,,,,,,,,,,,,,,0.01396,0817-0279120,AAA-222-111-000-0-0,29.0,,14.872906919999998,13.9346724,,,14.132578400000002
81322,228764723,,,409-054224,12222784-0816298,,STAR,JHK,,185.615972,-8.274965,-8.1,4.3,-0.8,2.6,,,,,,,,,,,,,,,,,13.385,0.027000000000000003,12.539000000000001,0.022000000000000002,12.335,0.027000000000000003,,,,,,,,,15.868,,,,,,,,,,,,,,,,,0.03294,,AAA-222-111-000-0-0,18.4,,13.36118438,12.324788600000002,,,12.523847600000002
83776,228767177,,,,12142022-0810046,,STAR,JHK,,183.584253,-8.167957000000001,,,,,,,,,,,,,,,,,,,,,14.985999999999999,0.08199999999999999,14.227,0.087,13.909,0.106,,,,,,,,,17.545,,,,,,,,,,,,,,,,,0.01767,0818-0286784,AAA-222-111-000-0-0,51.1,,14.97322459,13.9035223,,,14.2188718
